"date","GSPC.Adjusted","DGS6MO","DGS5","DGS10","GDP_Daily","Inflation_Daily","FedFunds_Daily","Unemployment_Daily"
1997-01-02,737.010009765625,5.35,6.3,6.54,8362.655,159.4,5.25,5.3
1997-01-03,748.030029296875,5.34,6.28,6.52,8362.655,159.4,5.25,5.3
1997-01-06,747.650024414062,5.31,6.3,6.54,8362.655,159.4,5.25,5.3
1997-01-07,753.22998046875,5.3,6.32,6.57,8362.655,159.4,5.25,5.3
1997-01-08,748.409973144531,5.3,6.34,6.6,8362.655,159.4,5.25,5.3
1997-01-09,754.849975585938,5.27,6.27,6.52,8362.655,159.4,5.25,5.3
1997-01-10,759.5,5.33,6.4,6.63,8362.655,159.4,5.25,5.3
1997-01-13,759.510009765625,5.31,6.4,6.63,8362.655,159.4,5.25,5.3
1997-01-14,768.859985351562,5.27,6.3,6.53,8362.655,159.4,5.25,5.3
1997-01-15,767.200012207031,5.28,6.3,6.53,8362.655,159.4,5.25,5.3
1997-01-16,769.75,5.28,6.33,6.57,8362.655,159.4,5.25,5.3
1997-01-17,776.169982910156,5.28,6.32,6.56,8362.655,159.4,5.25,5.3
1997-01-21,782.719970703125,5.31,6.29,6.52,8362.655,159.4,5.25,5.3
1997-01-22,786.22998046875,5.33,6.32,6.56,8362.655,159.4,5.25,5.3
1997-01-23,777.559997558594,5.34,6.35,6.6,8362.655,159.4,5.25,5.3
1997-01-24,770.52001953125,5.34,6.39,6.64,8362.655,159.4,5.25,5.3
1997-01-27,765.02001953125,5.34,6.42,6.69,8362.655,159.4,5.25,5.3
1997-01-28,765.02001953125,5.3,6.38,6.64,8362.655,159.4,5.25,5.3
1997-01-29,772.5,5.29,6.38,6.63,8362.655,159.4,5.25,5.3
1997-01-30,784.169982910156,5.31,6.35,6.61,8362.655,159.4,5.25,5.3
1997-01-31,786.159973144531,5.28,6.26,6.53,8362.655,159.4,5.25,5.3
1997-02-03,786.72998046875,5.28,6.21,6.47,8362.655,159.7,5.19,5.2
1997-02-04,789.260009765625,5.28,6.19,6.45,8362.655,159.7,5.19,5.2
1997-02-05,778.280029296875,5.28,6.21,6.47,8362.655,159.7,5.19,5.2
1997-02-06,780.150024414062,5.28,6.22,6.49,8362.655,159.7,5.19,5.2
1997-02-07,789.559997558594,5.26,6.17,6.43,8362.655,159.7,5.19,5.2
1997-02-10,785.429992675781,5.29,6.16,6.43,8362.655,159.7,5.19,5.2
1997-02-11,789.590026855469,5.28,6.18,6.43,8362.655,159.7,5.19,5.2
1997-02-12,802.77001953125,5.26,6.19,6.39,8362.655,159.7,5.19,5.2
1997-02-13,811.820007324219,5.21,6.12,6.32,8362.655,159.7,5.19,5.2
1997-02-14,808.47998046875,5.17,6.07,6.28,8362.655,159.7,5.19,5.2
1997-02-18,816.289978027344,5.24,6.08,6.28,8362.655,159.7,5.19,5.2
1997-02-19,812.489990234375,5.24,6.1,6.3,8362.655,159.7,5.19,5.2
1997-02-20,802.799987792969,5.23,6.17,6.38,8362.655,159.7,5.19,5.2
1997-02-21,801.77001953125,5.23,6.16,6.36,8362.655,159.7,5.19,5.2
1997-02-24,810.280029296875,5.23,6.19,6.39,8362.655,159.7,5.19,5.2
1997-02-25,812.030029296875,5.24,6.2,6.4,8362.655,159.7,5.19,5.2
1997-02-26,805.679992675781,5.3,6.37,6.56,8362.655,159.7,5.19,5.2
1997-02-27,795.070007324219,5.35,6.4,6.58,8362.655,159.7,5.19,5.2
1997-02-28,790.820007324219,5.39,6.39,6.56,8362.655,159.7,5.19,5.2
1997-03-03,795.309997558594,5.39,6.41,6.58,8362.655,159.8,5.39,5.2
1997-03-04,790.950012207031,5.4,6.44,6.6,8362.655,159.8,5.39,5.2
1997-03-05,801.989990234375,5.41,6.43,6.6,8362.655,159.8,5.39,5.2
1997-03-06,798.559997558594,5.43,6.45,6.62,8362.655,159.8,5.39,5.2
1997-03-07,804.969970703125,5.4,6.39,6.57,8362.655,159.8,5.39,5.2
1997-03-10,813.650024414062,5.4,6.4,6.56,8362.655,159.8,5.39,5.2
1997-03-11,811.340026855469,5.38,6.4,6.57,8362.655,159.8,5.39,5.2
1997-03-12,804.260009765625,5.4,6.43,6.6,8362.655,159.8,5.39,5.2
1997-03-13,789.559997558594,5.45,6.55,6.72,8362.655,159.8,5.39,5.2
1997-03-14,793.169982910156,5.43,6.53,6.71,8362.655,159.8,5.39,5.2
1997-03-17,795.710021972656,5.48,6.55,6.72,8362.655,159.8,5.39,5.2
1997-03-18,789.659973144531,5.48,6.56,6.72,8362.655,159.8,5.39,5.2
1997-03-19,785.77001953125,5.5,6.58,6.74,8362.655,159.8,5.39,5.2
1997-03-20,782.650024414062,5.55,6.61,6.75,8362.655,159.8,5.39,5.2
1997-03-21,784.099975585938,5.59,6.61,6.74,8362.655,159.8,5.39,5.2
1997-03-24,790.890014648438,5.55,6.58,6.72,8362.655,159.8,5.39,5.2
1997-03-25,789.070007324219,5.6,6.63,6.75,8362.655,159.8,5.39,5.2
1997-03-26,790.5,5.59,6.66,6.8,8362.655,159.8,5.39,5.2
1997-03-27,773.880004882812,5.6,6.76,6.9,8362.655,159.8,5.39,5.2
1997-03-31,757.119995117188,5.55,6.77,6.92,8362.655,159.8,5.39,5.2
1997-04-01,759.640014648438,5.53,6.74,6.9,8518.825,159.9,5.51,5.1
1997-04-02,750.109985351562,5.53,6.73,6.88,8518.825,159.9,5.51,5.1
1997-04-03,750.320007324219,5.52,6.72,6.86,8518.825,159.9,5.51,5.1
1997-04-04,757.900024414062,5.56,6.78,6.92,8518.825,159.9,5.51,5.1
1997-04-07,762.130004882812,5.55,6.73,6.87,8518.825,159.9,5.51,5.1
1997-04-08,766.119995117188,5.56,6.76,6.91,8518.825,159.9,5.51,5.1
1997-04-09,760.599975585938,5.59,6.77,6.91,8518.825,159.9,5.51,5.1
1997-04-10,758.340026855469,5.62,6.78,6.91,8518.825,159.9,5.51,5.1
1997-04-11,737.650024414062,5.66,6.85,6.98,8518.825,159.9,5.51,5.1
1997-04-14,743.72998046875,5.61,6.86,6.98,8518.825,159.9,5.51,5.1
1997-04-15,754.719970703125,5.62,6.76,6.88,8518.825,159.9,5.51,5.1
