"Date","DGS6MO","DGS5","DGS10","GDP","UNRATE","CPIAUCSL","FEDFUNDS","SP500"
2013-01-02,0.12,0.76,1.86,16648.189,8,231.679,0.14,1462.42004394531
2013-01-03,0.12,0.81,1.92,16648.189,8,231.679,0.14,1459.36999511719
2013-01-04,0.11,0.82,1.93,16648.189,8,231.679,0.14,1466.46997070312
2013-01-07,0.11,0.82,1.92,16648.189,8,231.679,0.14,1461.89001464844
2013-01-08,0.11,0.79,1.89,16648.189,8,231.679,0.14,1457.15002441406
2013-01-09,0.09,0.77,1.88,16648.189,8,231.679,0.14,1461.02001953125
2013-01-10,0.1,0.8,1.91,16648.189,8,231.679,0.14,1472.11999511719
2013-01-11,0.1,0.78,1.89,16648.189,8,231.679,0.14,1472.05004882812
2013-01-14,0.11,0.78,1.89,16648.189,8,231.679,0.14,1470.68005371094
2013-01-15,0.11,0.75,1.86,16648.189,8,231.679,0.14,1472.33996582031
2013-01-16,0.11,0.75,1.84,16648.189,8,231.679,0.14,1472.63000488281
2013-01-17,0.11,0.79,1.89,16648.189,8,231.679,0.14,1480.93994140625
2013-01-18,0.1,0.77,1.87,16648.189,8,231.679,0.14,1485.97998046875
2013-01-22,0.1,0.76,1.86,16648.189,8,231.679,0.14,1492.56005859375
2013-01-23,0.1,0.76,1.86,16648.189,8,231.679,0.14,1494.81005859375
2013-01-24,0.1,0.78,1.88,16648.189,8,231.679,0.14,1494.81994628906
2013-01-25,0.11,0.87,1.98,16648.189,8,231.679,0.14,1502.9599609375
2013-01-28,0.11,0.89,2,16648.189,8,231.679,0.14,1500.18005371094
2013-01-29,0.11,0.9,2.03,16648.189,8,231.679,0.14,1507.83996582031
2013-01-30,0.11,0.88,2.03,16648.189,8,231.679,0.14,1501.9599609375
2013-01-31,0.12,0.88,2.02,16648.189,8,231.679,0.14,1498.10998535156
2013-02-01,0.11,0.88,2.04,16648.189,7.7,232.937,0.15,1513.17004394531
2013-02-04,0.11,0.85,2,16648.189,7.7,232.937,0.15,1495.7099609375
2013-02-05,0.11,0.88,2.04,16648.189,7.7,232.937,0.15,1511.2900390625
2013-02-06,0.12,0.84,2,16648.189,7.7,232.937,0.15,1512.11999511719
